Gene ID	Gene Name	ERR8764967	ERR8764968	ERR8764969	ERR8764970	ERR8764971	ERR8764972	ERR8764973	ERR8764974	ERR8764975	ERR8764976	ERR8764977	ERR8764978	ERR8764979	ERR8764980	ERR8764981	ERR8764982	ERR8764983	ERR8764984	ERR8764985	ERR8764986	ERR8764987	ERR8764988	ERR8764989	ERR8764990
ENSG00000000003	TSPAN6	17149	6428	2641	3309	22410	14031	1971	1507	1231	1085	1376	1056	1760	1198	1177	1557	1357	1664	1986	2124	1318	1320	1575	1507
ENSG00000000005	TNMD	0	10	0	7	123	2	12	7	14	6	1	3	4	6	1	3	3	8	0	8	0	0	4	16
ENSG00000000419	DPM1	2896	946	729	409	3006	2468	1178	931	903	853	1140	930	1210	1028	805	1049	959	1219	657	772	531	501	690	611
ENSG00000000457	SCYL3	2315	889	421	343	1239	812	553	559	495	445	505	394	579	570	470	520	408	608	977	966	710	556	879	787
ENSG00000000460	C1orf112	2398	779	508	547	2061	1699	377	289	254	474	597	536	358	586	430	604	258	467	895	828	906	701	798	663
ENSG00000000938	FGR	7	0	0	0	2	0	0	0	1	0	0	0	7	0	0	2	2	0	0	0	0	29	0	0
ENSG00000000971	CFH	2	0	0	0	0	2	169	169	122	44	45	39	285	227	225	165	270	290	0	9	28	0	3	2
ENSG00000001036	FUCA2	6261	2944	2557	3131	5410	4762	1515	1479	1210	1884	1997	1986	1605	1710	1382	1763	1176	1355	832	1068	1177	656	858	746
ENSG00000001084	GCLC	2215	977	776	904	3219	2171	1038	1069	833	765	931	775	1223	1107	814	971	1109	1186	774	1129	825	644	906	712
ENSG00000001167	NFYA	4852	2301	1827	2534	4072	3906	1906	1847	2128	1384	1719	1494	2050	1676	1094	1643	1475	1991	1706	2552	1482	1502	2427	2163
ENSG00000001460	STPG1	472	291	339	400	788	516	312	297	287	278	327	254	420	337	290	364	279	357	350	568	401	264	424	386
ENSG00000001461	NIPAL3	1293	667	1003	816	1144	1152	1213	1119	1168	1150	1209	1221	2013	1499	1076	1116	1475	1729	735	981	263	469	900	817
ENSG00000001497	LAS1L	4557	3245	4585	4689	6099	3899	1393	1338	1315	1238	1370	1439	1567	1571	1228	1494	1214	1266	2084	2365	1359	1469	1813	1650
ENSG00000001561	ENPP4	468	113	83	37	628	391	676	523	406	588	929	722	591	757	574	703	522	657	233	350	182	116	218	206
ENSG00000001617	SEMA3F	6487	5787	3680	12605	5518	3913	619	631	629	3138	3352	3476	656	2006	1399	1623	540	550	3225	3857	3344	2182	3345	2741
ENSG00000001626	CFTR	2285	595	560	177	522	869	99	94	112	26	22	14	56	29	14	44	74	99	1126	2826	1338	1091	1882	2613
